,gene,pvalue,effet
1759,ECH3937_v6b_ABF-0017282,6.08402217494586e-14,Activation
2866,ECH3937_v6b_ABF-0018913,6.12843109593086e-14,Activation
1348,ECH3937_v6b_ABF-0016678,6.30606677987089e-14,Activation
1840,ECH3937_v6b_ABF-0017403,6.30606677987089e-14,Activation
1018,ECH3937_v6b_ABF-0016163,6.3948846218409e-14,Activation
4416,ECH3937_v6b_ABF-0046998,6.48370246381091e-14,Activation
4216,ECH3937_v6b_ABF-0046553,6.59472476627343e-14,Activation
1476,ECH3937_v6b_ABF-0016868,6.70574706873595e-14,Activation
2028,ECH3937_v6b_ABF-0017695,6.88338275267597e-14,Activation
392,ECH3937_v6b_ABF-0015153,6.99440505513849e-14,Repression
1906,ECH3937_v6b_ABF-0017511,7.01660951563099e-14,Activation
4172,ECH3937_v6b_ABF-0020855,7.105427357601e-14,Activation
2242,ECH3937_v6b_ABF-0017988,7.14983627858601e-14,Repression
796,ECH3937_v6b_ABF-0015844,7.54951656745106e-14,Activation
1584,ECH3937_v6b_ABF-0017026,7.54951656745106e-14,Activation
3039,ECH3937_v6b_ABF-0019179,7.66053886991358e-14,Activation
4235,ECH3937_v6b_ABF-0046578,7.7715611723761e-14,Activation
2869,ECH3937_v6b_ABF-0018917,8.03801469828613e-14,Repression
1451,ECH3937_v6b_ABF-0016822,8.08242361927114e-14,Activation
4422,ECH3937_v6b_ABF-0047009,8.37108160567368e-14,Activation
4406,ECH3937_v6b_ABF-0046983,8.43769498715119e-14,Activation
3633,ECH3937_v6b_ABF-0020076,8.4821039081362e-14,Activation
3134,ECH3937_v6b_ABF-0019323,8.65973959207622e-14,Activation
4147,ECH3937_v6b_ABF-0020815,8.74855743404623e-14,Activation
351,ECH3937_v6b_ABF-0015083,8.83737527601625e-14,Activation
4071,ECH3937_v6b_ABF-0020709,9.52571355128384e-14,Activation
1316,ECH3937_v6b_ABF-0016633,9.79216707719388e-14,Activation
1305,ECH3937_v6b_ABF-0016615,1.00808250635964e-13,Activation
4059,ECH3937_v6b_ABF-0020693,1.01474384450739e-13,Activation
4048,ECH3937_v6b_ABF-0020677,1.02140518265514e-13,Activation
30,ECH3937_v6b_ABF-0014541,1.02584607475364e-13,Activation
2751,ECH3937_v6b_ABF-0018740,1.03028696685215e-13,Activation
2154,ECH3937_v6b_ABF-0017865,1.0857981180834e-13,Activation
3163,ECH3937_v6b_ABF-0019370,1.0857981180834e-13,Activation
2652,ECH3937_v6b_ABF-0018593,1.13686837721616e-13,Activation
2910,ECH3937_v6b_ABF-0018980,1.17905685215192e-13,Activation
4305,ECH3937_v6b_ABF-0046765,1.19459997449667e-13,Activation
4149,ECH3937_v6b_ABF-0020819,1.23456800338317e-13,Activation
3520,ECH3937_v6b_ABF-0019920,1.28341781646668e-13,Activation
50,ECH3937_v6b_ABF-0014576,1.29674049276218e-13,Activation
331,ECH3937_v6b_ABF-0015059,1.31450406115619e-13,Activation
4238,ECH3937_v6b_ABF-0046581,1.31450406115619e-13,Activation
900,ECH3937_v6b_ABF-0015986,1.33004718350094e-13,Activation
3702,ECH3937_v6b_ABF-0020178,1.35447209004269e-13,Repression
4078,ECH3937_v6b_ABF-0020721,1.37223565843669e-13,Activation
2632,ECH3937_v6b_ABF-0018558,1.38111744263369e-13,Activation
3340,ECH3937_v6b_ABF-0019619,1.4477308241112e-13,Activation
2177,ECH3937_v6b_ABF-0017899,1.45883305435746e-13,Activation
108,ECH3937_v6b_ABF-0014732,1.48991929904696e-13,Activation
2156,ECH3937_v6b_ABF-0017867,1.50102152929321e-13,Activation
224,ECH3937_v6b_ABF-0014910,1.55875312657372e-13,Activation
1099,ECH3937_v6b_ABF-0016283,1.55875312657372e-13,Activation
3899,ECH3937_v6b_ABF-0020469,1.57207580286922e-13,Activation
1414,ECH3937_v6b_ABF-0016773,1.61426427780498e-13,Activation
1330,ECH3937_v6b_ABF-0016651,1.71640479607049e-13,Activation
536,ECH3937_v6b_ABF-0015473,1.78079773149875e-13,Activation
70,ECH3937_v6b_ABF-0014616,1.86961557346876e-13,Activation
789,ECH3937_v6b_ABF-0015837,1.86961557346876e-13,Activation
1543,ECH3937_v6b_ABF-0016968,1.89848137210902e-13,Activation
4134,ECH3937_v6b_ABF-0020799,1.90070181815827e-13,Activation
1059,ECH3937_v6b_ABF-0016223,1.90958360235527e-13,Activation
3081,ECH3937_v6b_ABF-0019247,1.90958360235527e-13,Activation
3284,ECH3937_v6b_ABF-0019538,1.95399252334028e-13,Activation
2898,ECH3937_v6b_ABF-0018958,1.95621296938953e-13,Activation
647,ECH3937_v6b_ABF-0015633,1.98063787593128e-13,Activation
4459,ECH3937_v6b_ABF-0047080,2.04725125740879e-13,Activation
1806,ECH3937_v6b_ABF-0017349,2.04947170345804e-13,Activation
1725,ECH3937_v6b_ABF-0017240,2.10276240864005e-13,Activation
2171,ECH3937_v6b_ABF-0017889,2.10720330073855e-13,Activation
3409,ECH3937_v6b_ABF-0019739,2.1538326677728e-13,Activation
1423,ECH3937_v6b_ABF-0016785,2.22932783344731e-13,Repression
209,ECH3937_v6b_ABF-0014883,2.34479102800833e-13,Repression
1655,ECH3937_v6b_ABF-0017140,2.36699548850083e-13,Activation
2144,ECH3937_v6b_ABF-0017853,2.39364084109184e-13,Activation
2187,ECH3937_v6b_ABF-0017920,2.4491519923231e-13,Activation
2834,ECH3937_v6b_ABF-0018859,2.50466314355435e-13,Repression
391,ECH3937_v6b_ABF-0015152,2.54907206453936e-13,Repression
1166,ECH3937_v6b_ABF-0016393,2.68896016564213e-13,Activation
2155,ECH3937_v6b_ABF-0017866,2.72004641033163e-13,Activation
2742,ECH3937_v6b_ABF-0018728,2.73336908662714e-13,Activation
2451,ECH3937_v6b_ABF-0018307,2.74003042477489e-13,Activation
2069,ECH3937_v6b_ABF-0017748,2.75335310107039e-13,Activation
1205,ECH3937_v6b_ABF-0016452,2.75779399316889e-13,Activation
2998,ECH3937_v6b_ABF-0019118,2.78665979180914e-13,Activation
1367,ECH3937_v6b_ABF-0016702,2.80442336020315e-13,Activation
2989,ECH3937_v6b_ABF-0019108,2.87325718772991e-13,Activation
2260,ECH3937_v6b_ABF-0018019,2.93098878501041e-13,Activation
1783,ECH3937_v6b_ABF-0017315,2.97095681389692e-13,Activation
4290,ECH3937_v6b_ABF-0046734,2.97983859809392e-13,Activation
1972,ECH3937_v6b_ABF-0017603,3.08197911635943e-13,Activation
3890,ECH3937_v6b_ABF-0020457,3.15303338993544e-13,Activation
4438,ECH3937_v6b_ABF-0047040,3.23074900165921e-13,Activation
3532,ECH3937_v6b_ABF-0019939,3.26849658449646e-13,Activation
1904,ECH3937_v6b_ABF-0017508,3.29070104498896e-13,Activation
842,ECH3937_v6b_ABF-0015903,3.29736238313671e-13,Activation
457,ECH3937_v6b_ABF-0015238,3.29958282918597e-13,Activation
757,ECH3937_v6b_ABF-0015790,3.37063710276198e-13,Activation
2063,ECH3937_v6b_ABF-0017742,3.46389583683049e-13,Activation
3220,ECH3937_v6b_ABF-0019444,3.47277762102749e-13,Activation
453,ECH3937_v6b_ABF-0015234,3.48610029732299e-13,Activation
4435,ECH3937_v6b_ABF-0047032,3.61044527608101e-13,Activation
4300,ECH3937_v6b_ABF-0046753,3.67483821150927e-13,Activation
1666,ECH3937_v6b_ABF-0017156,3.67927910360777e-13,Activation
3043,ECH3937_v6b_ABF-0019187,3.68594044175552e-13,Activation
3955,ECH3937_v6b_ABF-0020545,3.74811293113453e-13,Repression
2531,ECH3937_v6b_ABF-0018424,3.76143560743003e-13,Activation
2681,ECH3937_v6b_ABF-0018639,3.81028542051354e-13,Activation
2788,ECH3937_v6b_ABF-0018791,3.81028542051354e-13,Activation
1055,ECH3937_v6b_ABF-0016219,3.87245790989255e-13,Activation
1016,ECH3937_v6b_ABF-0016156,3.89022147828655e-13,Activation
4347,ECH3937_v6b_ABF-0046880,3.97459842815806e-13,Activation
537,ECH3937_v6b_ABF-0015474,3.97903932025656e-13,Activation
4373,ECH3937_v6b_ABF-0046928,4.00568467284756e-13,Activation
646,ECH3937_v6b_ABF-0015632,4.07229805432507e-13,Activation
