,gene,pvalue,effet
850,ECH3937_v6b_ABF-0015912,0,Activation
857,ECH3937_v6b_ABF-0015921,0,Repression
869,ECH3937_v6b_ABF-0015936,0,Repression
875,ECH3937_v6b_ABF-0015943,0,Repression
884,ECH3937_v6b_ABF-0015962,0,Repression
892,ECH3937_v6b_ABF-0015971,0,Repression
893,ECH3937_v6b_ABF-0015973,0,Repression
925,ECH3937_v6b_ABF-0016017,0,Repression
933,ECH3937_v6b_ABF-0016030,0,Repression
949,ECH3937_v6b_ABF-0016051,0,Repression
950,ECH3937_v6b_ABF-0016052,0,Repression
953,ECH3937_v6b_ABF-0016056,0,Repression
974,ECH3937_v6b_ABF-0016089,0,Repression
975,ECH3937_v6b_ABF-0016090,0,Repression
990,ECH3937_v6b_ABF-0016115,0,Repression
1024,ECH3937_v6b_ABF-0016169,0,Repression
1028,ECH3937_v6b_ABF-0016174,0,Repression
1048,ECH3937_v6b_ABF-0016207,0,Repression
1055,ECH3937_v6b_ABF-0016219,0,Activation
1064,ECH3937_v6b_ABF-0016229,0,Repression
1069,ECH3937_v6b_ABF-0016236,0,Repression
1070,ECH3937_v6b_ABF-0016238,0,Repression
1080,ECH3937_v6b_ABF-0016254,0,Repression
1081,ECH3937_v6b_ABF-0016255,0,Repression
1082,ECH3937_v6b_ABF-0016257,0,Repression
1086,ECH3937_v6b_ABF-0016266,0,Repression
1090,ECH3937_v6b_ABF-0016270,0,Repression
1098,ECH3937_v6b_ABF-0016281,0,Repression
1101,ECH3937_v6b_ABF-0016285,0,Repression
1102,ECH3937_v6b_ABF-0016286,0,Repression
1103,ECH3937_v6b_ABF-0016287,0,Repression
1105,ECH3937_v6b_ABF-0016291,0,Repression
1107,ECH3937_v6b_ABF-0016293,0,Repression
1108,ECH3937_v6b_ABF-0016294,0,Repression
1109,ECH3937_v6b_ABF-0016295,0,Repression
1112,ECH3937_v6b_ABF-0016301,0,Repression
1118,ECH3937_v6b_ABF-0016317,0,Repression
1119,ECH3937_v6b_ABF-0016318,0,Repression
1175,ECH3937_v6b_ABF-0016407,0,Repression
1181,ECH3937_v6b_ABF-0016414,0,Repression
1214,ECH3937_v6b_ABF-0016469,0,Repression
1225,ECH3937_v6b_ABF-0016482,0,Repression
1235,ECH3937_v6b_ABF-0016505,0,Repression
1236,ECH3937_v6b_ABF-0016506,0,Repression
1262,ECH3937_v6b_ABF-0016546,0,Repression
1263,ECH3937_v6b_ABF-0016547,0,Repression
1264,ECH3937_v6b_ABF-0016548,0,Repression
1265,ECH3937_v6b_ABF-0016549,0,Repression
1267,ECH3937_v6b_ABF-0016553,0,Repression
1271,ECH3937_v6b_ABF-0016558,0,Repression
1278,ECH3937_v6b_ABF-0016567,0,Repression
1280,ECH3937_v6b_ABF-0016570,0,Repression
1283,ECH3937_v6b_ABF-0016575,0,Repression
1299,ECH3937_v6b_ABF-0016600,0,Repression
1348,ECH3937_v6b_ABF-0016678,0,Activation
1349,ECH3937_v6b_ABF-0016679,0,Activation
1350,ECH3937_v6b_ABF-0016680,0,Repression
1360,ECH3937_v6b_ABF-0016693,0,Repression
1385,ECH3937_v6b_ABF-0016728,0,Repression
1387,ECH3937_v6b_ABF-0016734,0,Repression
1389,ECH3937_v6b_ABF-0016736,0,Repression
1391,ECH3937_v6b_ABF-0016738,0,Repression
1392,ECH3937_v6b_ABF-0016739,0,Repression
1412,ECH3937_v6b_ABF-0016771,0,Repression
1421,ECH3937_v6b_ABF-0016783,0,Repression
1422,ECH3937_v6b_ABF-0016784,0,Repression
1423,ECH3937_v6b_ABF-0016785,0,Repression
1424,ECH3937_v6b_ABF-0016787,0,Repression
1434,ECH3937_v6b_ABF-0016800,0,Repression
1467,ECH3937_v6b_ABF-0016853,0,Repression
1482,ECH3937_v6b_ABF-0016874,0,Repression
1519,ECH3937_v6b_ABF-0016932,0,Repression
1520,ECH3937_v6b_ABF-0016933,0,Repression
1521,ECH3937_v6b_ABF-0016934,0,Repression
1523,ECH3937_v6b_ABF-0016937,0,Repression
1524,ECH3937_v6b_ABF-0016938,0,Repression
1560,ECH3937_v6b_ABF-0016991,0,Repression
1561,ECH3937_v6b_ABF-0016992,0,Repression
1562,ECH3937_v6b_ABF-0016993,0,Repression
1575,ECH3937_v6b_ABF-0017013,0,Repression
1581,ECH3937_v6b_ABF-0017021,0,Repression
1587,ECH3937_v6b_ABF-0017034,0,Repression
1597,ECH3937_v6b_ABF-0017052,0,Repression
1624,ECH3937_v6b_ABF-0017095,0,Repression
1642,ECH3937_v6b_ABF-0017123,0,Repression
1673,ECH3937_v6b_ABF-0017165,0,Repression
1677,ECH3937_v6b_ABF-0017172,0,Activation
1698,ECH3937_v6b_ABF-0017202,0,Repression
1723,ECH3937_v6b_ABF-0017236,0,Repression
1741,ECH3937_v6b_ABF-0017257,0,Repression
1742,ECH3937_v6b_ABF-0017258,0,Repression
1748,ECH3937_v6b_ABF-0017266,0,Repression
1749,ECH3937_v6b_ABF-0017267,0,Repression
1777,ECH3937_v6b_ABF-0017309,0,Repression
1780,ECH3937_v6b_ABF-0017312,0,Repression
1793,ECH3937_v6b_ABF-0017327,0,Repression
1843,ECH3937_v6b_ABF-0017408,0,Repression
1844,ECH3937_v6b_ABF-0017409,0,Repression
1852,ECH3937_v6b_ABF-0017420,0,Repression
1856,ECH3937_v6b_ABF-0017428,0,Activation
1874,ECH3937_v6b_ABF-0017464,0,Repression
1876,ECH3937_v6b_ABF-0017466,0,Repression
1877,ECH3937_v6b_ABF-0017468,0,Repression
1878,ECH3937_v6b_ABF-0017469,0,Repression
1880,ECH3937_v6b_ABF-0017471,0,Repression
1882,ECH3937_v6b_ABF-0017473,0,Repression
1883,ECH3937_v6b_ABF-0017475,0,Repression
1886,ECH3937_v6b_ABF-0017479,0,Repression
1887,ECH3937_v6b_ABF-0017480,0,Repression
1922,ECH3937_v6b_ABF-0017534,0,Repression
1923,ECH3937_v6b_ABF-0017535,0,Repression
1932,ECH3937_v6b_ABF-0017546,0,Repression
1935,ECH3937_v6b_ABF-0017551,0,Repression
1937,ECH3937_v6b_ABF-0017555,0,Repression
1939,ECH3937_v6b_ABF-0017557,0,Repression
1940,ECH3937_v6b_ABF-0017558,0,Repression
1941,ECH3937_v6b_ABF-0017559,0,Repression
1944,ECH3937_v6b_ABF-0017562,0,Repression
1952,ECH3937_v6b_ABF-0017572,0,Repression
1953,ECH3937_v6b_ABF-0017574,0,Repression
1956,ECH3937_v6b_ABF-0017578,0,Repression
1971,ECH3937_v6b_ABF-0017602,0,Activation
1972,ECH3937_v6b_ABF-0017603,0,Activation
1978,ECH3937_v6b_ABF-0017610,0,Repression
1982,ECH3937_v6b_ABF-0017614,0,Repression
2043,ECH3937_v6b_ABF-0017716,0,Repression
2047,ECH3937_v6b_ABF-0017720,0,Repression
2050,ECH3937_v6b_ABF-0017724,0,Repression
2087,ECH3937_v6b_ABF-0017776,0,Repression
2105,ECH3937_v6b_ABF-0017799,0,Repression
2116,ECH3937_v6b_ABF-0017813,0,Repression
2120,ECH3937_v6b_ABF-0017818,0,Repression
2125,ECH3937_v6b_ABF-0017825,0,Repression
2126,ECH3937_v6b_ABF-0017827,0,Repression
2127,ECH3937_v6b_ABF-0017828,0,Repression
2131,ECH3937_v6b_ABF-0017832,0,Repression
2132,ECH3937_v6b_ABF-0017833,0,Repression
2158,ECH3937_v6b_ABF-0017870,0,Repression
2180,ECH3937_v6b_ABF-0017910,0,Repression
2193,ECH3937_v6b_ABF-0017930,0,Repression
2194,ECH3937_v6b_ABF-0017931,0,Repression
2196,ECH3937_v6b_ABF-0017935,0,Repression
2197,ECH3937_v6b_ABF-0017936,0,Repression
2199,ECH3937_v6b_ABF-0017938,0,Repression
2200,ECH3937_v6b_ABF-0017939,0,Repression
2201,ECH3937_v6b_ABF-0017940,0,Repression
2208,ECH3937_v6b_ABF-0017948,0,Repression
2209,ECH3937_v6b_ABF-0017949,0,Repression
2210,ECH3937_v6b_ABF-0017950,0,Repression
2213,ECH3937_v6b_ABF-0017953,0,Repression
2214,ECH3937_v6b_ABF-0017954,0,Repression
2215,ECH3937_v6b_ABF-0017955,0,Repression
2216,ECH3937_v6b_ABF-0017957,0,Repression
2217,ECH3937_v6b_ABF-0017958,0,Repression
2242,ECH3937_v6b_ABF-0017988,0,Repression
2244,ECH3937_v6b_ABF-0017994,0,Repression
2245,ECH3937_v6b_ABF-0017996,0,Repression
2253,ECH3937_v6b_ABF-0018006,0,Repression
2256,ECH3937_v6b_ABF-0018014,0,Repression
2285,ECH3937_v6b_ABF-0018053,0,Repression
2289,ECH3937_v6b_ABF-0018057,0,Repression
2293,ECH3937_v6b_ABF-0018062,0,Repression
2298,ECH3937_v6b_ABF-0018067,0,Repression
2320,ECH3937_v6b_ABF-0018098,0,Repression
2327,ECH3937_v6b_ABF-0018109,0,Repression
2355,ECH3937_v6b_ABF-0018156,0,Repression
2368,ECH3937_v6b_ABF-0018175,0,Repression
2369,ECH3937_v6b_ABF-0018176,0,Repression
2370,ECH3937_v6b_ABF-0018178,0,Repression
2378,ECH3937_v6b_ABF-0018190,0,Repression
2379,ECH3937_v6b_ABF-0018192,0,Repression
2380,ECH3937_v6b_ABF-0018193,0,Repression
2381,ECH3937_v6b_ABF-0018195,0,Repression
2382,ECH3937_v6b_ABF-0018196,0,Repression
2383,ECH3937_v6b_ABF-0018198,0,Repression
2385,ECH3937_v6b_ABF-0018200,0,Repression
2396,ECH3937_v6b_ABF-0018218,0,Repression
2399,ECH3937_v6b_ABF-0018222,0,Repression
2403,ECH3937_v6b_ABF-0018230,0,Repression
2406,ECH3937_v6b_ABF-0018233,0,Repression
2407,ECH3937_v6b_ABF-0018234,0,Repression
2409,ECH3937_v6b_ABF-0018236,0,Repression
2411,ECH3937_v6b_ABF-0018238,0,Repression
2412,ECH3937_v6b_ABF-0018239,0,Repression
2415,ECH3937_v6b_ABF-0018246,0,Repression
2419,ECH3937_v6b_ABF-0018254,0,Repression
2420,ECH3937_v6b_ABF-0018255,0,Repression
2438,ECH3937_v6b_ABF-0018279,0,Repression
2439,ECH3937_v6b_ABF-0018280,0,Repression
2443,ECH3937_v6b_ABF-0018294,0,Repression
2478,ECH3937_v6b_ABF-0018342,0,Repression
2480,ECH3937_v6b_ABF-0018344,0,Repression
2482,ECH3937_v6b_ABF-0018347,0,Repression
2484,ECH3937_v6b_ABF-0018349,0,Repression
2485,ECH3937_v6b_ABF-0018350,0,Repression
2488,ECH3937_v6b_ABF-0018355,0,Repression
2491,ECH3937_v6b_ABF-0018360,0,Repression
2492,ECH3937_v6b_ABF-0018361,0,Repression
2493,ECH3937_v6b_ABF-0018362,0,Repression
2494,ECH3937_v6b_ABF-0018363,0,Repression
2495,ECH3937_v6b_ABF-0018364,0,Repression
2504,ECH3937_v6b_ABF-0018377,0,Repression
2507,ECH3937_v6b_ABF-0018382,0,Repression
2525,ECH3937_v6b_ABF-0018415,0,Repression
2531,ECH3937_v6b_ABF-0018424,0,Activation
2590,ECH3937_v6b_ABF-0018502,0,Repression
2609,ECH3937_v6b_ABF-0018527,0,Repression
2623,ECH3937_v6b_ABF-0018548,0,Repression
2625,ECH3937_v6b_ABF-0018551,0,Repression
2628,ECH3937_v6b_ABF-0018554,0,Repression
2633,ECH3937_v6b_ABF-0018560,0,Repression
2644,ECH3937_v6b_ABF-0018575,0,Repression
2647,ECH3937_v6b_ABF-0018581,0,Repression
2676,ECH3937_v6b_ABF-0018634,0,Repression
2677,ECH3937_v6b_ABF-0018635,0,Repression
2757,ECH3937_v6b_ABF-0018748,0,Repression
2759,ECH3937_v6b_ABF-0018750,0,Repression
2761,ECH3937_v6b_ABF-0018752,0,Repression
2767,ECH3937_v6b_ABF-0018762,0,Repression
2768,ECH3937_v6b_ABF-0018763,0,Repression
2770,ECH3937_v6b_ABF-0018765,0,Repression
2776,ECH3937_v6b_ABF-0018772,0,Repression
